record_id,session_id,student_id,status,source
1,1,1,present,rfid
2,2,1,present,rfid
3,3,1,present,rfid
4,4,1,present,rfid
5,5,1,present,rfid
6,6,1,present,rfid
7,7,1,present,rfid
8,8,1,present,rfid
9,9,1,present,rfid
10,10,1,present,rfid
11,11,1,present,rfid
12,12,1,present,rfid
13,13,1,present,rfid
14,14,1,present,rfid
15,15,1,present,rfid
16,16,1,present,rfid
17,17,1,present,rfid
18,18,1,absent,rfid
19,19,1,present,rfid
20,20,1,present,rfid
21,21,1,absent,rfid
22,22,1,present,rfid
23,23,1,present,rfid
24,24,1,late,rfid
25,25,1,present,rfid
26,26,1,present,rfid
27,27,1,present,rfid
28,28,1,present,rfid
29,29,1,absent,rfid
30,30,1,present,rfid
31,121,1,present,biometric
32,122,1,present,biometric
33,123,1,present,biometric
34,124,1,late,biometric
35,125,1,late,biometric
36,126,1,present,biometric
37,127,1,present,biometric
38,128,1,present,biometric
39,129,1,present,biometric
40,130,1,present,biometric
41,131,1,present,biometric
42,132,1,present,biometric
43,133,1,present,biometric
44,134,1,present,biometric
45,135,1,present,biometric
46,136,1,present,biometric
47,137,1,present,biometric
48,138,1,present,biometric
49,139,1,present,biometric
50,140,1,present,biometric
51,141,1,present,biometric
52,142,1,present,biometric
53,143,1,present,biometric
54,144,1,absent,biometric
55,145,1,present,biometric
56,146,1,present,biometric
57,147,1,present,biometric
58,148,1,absent,biometric
59,149,1,present,biometric
60,150,1,present,biometric
61,61,1,present,manual
62,62,1,present,manual
63,63,1,present,manual
64,64,1,present,manual
65,65,1,present,manual
66,66,1,present,manual
67,67,1,present,manual
68,68,1,late,manual
69,69,1,present,manual
70,70,1,present,manual
71,71,1,present,manual
72,72,1,present,manual
73,73,1,present,manual
74,74,1,present,manual
75,75,1,present,manual
76,76,1,present,manual
77,77,1,present,manual
78,78,1,present,manual
79,79,1,absent,manual
80,80,1,late,manual
81,81,1,late,manual
82,82,1,present,manual
83,83,1,present,manual
84,84,1,late,manual
85,85,1,present,manual
86,86,1,present,manual
87,87,1,present,manual
88,88,1,late,manual
89,89,1,present,manual
90,90,1,present,manual
91,31,1,present,biometric
92,32,1,present,biometric
93,33,1,late,biometric
94,34,1,present,biometric
95,35,1,present,biometric
96,36,1,present,biometric
97,37,1,present,biometric
98,38,1,present,biometric
99,39,1,present,biometric
100,40,1,absent,biometric
101,41,1,absent,biometric
102,42,1,present,biometric
103,43,1,present,biometric
104,44,1,present,biometric
105,45,1,present,biometric
106,46,1,present,biometric
107,47,1,present,biometric
108,48,1,present,biometric
109,49,1,present,biometric
110,50,1,present,biometric
111,51,1,present,biometric
112,52,1,present,biometric
113,53,1,present,biometric
114,54,1,present,biometric
115,55,1,present,biometric
116,56,1,present,biometric
117,57,1,present,biometric
118,58,1,present,biometric
119,59,1,present,biometric
120,60,1,present,biometric
121,91,1,present,rfid
122,92,1,present,rfid
123,93,1,present,rfid
124,94,1,present,rfid
125,95,1,present,rfid
126,96,1,present,rfid
127,97,1,present,rfid
128,98,1,late,rfid
129,99,1,present,rfid
130,100,1,present,rfid
131,101,1,present,rfid
132,102,1,present,rfid
133,103,1,present,rfid
134,104,1,present,rfid
135,105,1,present,rfid
136,106,1,present,rfid
137,107,1,present,rfid
138,108,1,present,rfid
139,109,1,present,rfid
140,110,1,present,rfid
141,111,1,present,rfid
142,112,1,present,rfid
143,113,1,present,rfid
144,114,1,present,rfid
145,115,1,present,rfid
146,116,1,present,rfid
147,117,1,present,rfid
148,118,1,absent,rfid
149,119,1,present,rfid
150,120,1,present,rfid
151,31,2,absent,biometric
152,32,2,present,biometric
153,33,2,absent,biometric
154,34,2,present,biometric
155,35,2,present,biometric
156,36,2,absent,biometric
157,37,2,absent,biometric
158,38,2,present,biometric
159,39,2,late,biometric
160,40,2,absent,biometric
161,41,2,present,biometric
162,42,2,absent,biometric
163,43,2,present,biometric
164,44,2,present,biometric
165,45,2,present,biometric
166,46,2,absent,biometric
167,47,2,present,biometric
168,48,2,absent,biometric
169,49,2,present,biometric
170,50,2,present,biometric
171,51,2,absent,biometric
172,52,2,present,biometric
173,53,2,absent,biometric
174,54,2,present,biometric
175,55,2,absent,biometric
176,56,2,present,biometric
177,57,2,absent,biometric
178,58,2,absent,biometric
179,59,2,absent,biometric
180,60,2,present,biometric
181,1,2,late,rfid
182,2,2,present,rfid
183,3,2,absent,rfid
184,4,2,present,rfid
185,5,2,present,rfid
186,6,2,absent,rfid
187,7,2,absent,rfid
188,8,2,present,rfid
189,9,2,late,rfid
190,10,2,absent,rfid
191,11,2,absent,rfid
192,12,2,absent,rfid
193,13,2,absent,rfid
194,14,2,absent,rfid
195,15,2,absent,rfid
196,16,2,absent,rfid
197,17,2,absent,rfid
198,18,2,present,rfid
199,19,2,present,rfid
200,20,2,absent,rfid
201,21,2,present,rfid
202,22,2,absent,rfid
203,23,2,present,rfid
204,24,2,absent,rfid
205,25,2,present,rfid
206,26,2,present,rfid
207,27,2,absent,rfid
208,28,2,absent,rfid
209,29,2,absent,rfid
210,30,2,present,rfid
211,61,2,present,manual
212,62,2,absent,manual
213,63,2,present,manual
214,64,2,present,manual
